,arrHC,arrLocation,arrTime,day,depHC,depLocation,depTime,diagramCode,tillDate,toDate
55,5K80,Crewe CS,21+25,SO,5C04,Crewe CS,03+50,VW 513,2017-09-12,2017-05-27
56,5S97,PoldieCMD,23+59,Su,5D35,BrtnUNCmd,11+00,VW 514,2017-06-25,2017-05-21
57,5K94,Crewe CS,23+14,SX,1R24,Holyhead,05.51,VW 514,2017-08-12,2017-05-22
58,1D91,Holyhead,20.54,SO,1A20,Holyhead,07.55,VW 514,2017-09-12,2017-05-27
59,5S97,PoldieCMD,00+12,Su,5D35,BrtnUNCmd,11+00,VW 514,2017-08-27,2017-02-07
60,5S97,PoldieCMD,00+20,Su,5D35,BrtnUNCmd,11+00,VW 514,2017-08-10,2017-03-09
61,5S97,PoldieCMD,00+20,Su,5D35,BrtnUNCmd,11+00,VW 514,2017-03-12,2017-10-15
62,5D67,BrtnUNCmd,22+37,Su,5S35,BrtnUNCmd,08+29,VW 515,2017-06-18,2017-05-21
63,5S77,PoldieCMD,19+53,FSX,1A13,Holyhead,06.55,VW 515,2017-07-12,2017-05-22
64,5K77,Crewe CS,00+37,FO,1A13,Holyhead,06.55,VW 515,2017-08-12,2017-05-26
65,5D42,BrtnUNCmd,22+59,SO,5J11,BrtnUNCmd,05+54,VW 515,2017-09-12,2017-05-27
66,5D67,BrtnUNCmd,22+37,Su,5S35,BrtnUNCmd,08+29,VW 515,2017-10-09,2017-06-25
67,5D67,BrtnUNCmd,22+37,Su,5S35,BrtnUNCmd,08+29,VW 515,2017-03-12,2017-09-17
68,5K50,Crewe CS,21+53,Su,5C93,Crewe CS,09+55,VW 516,2017-03-12,2017-05-21
69,5K32,Crewe CS,22+32,MO,5A81,BrtnUNCmd,04+26,VW 516,2017-04-12,2017-05-22
70,5K32,Crewe CS,22+32,TWO,5A81,BrtnUNCmd,03+57,VW 516,2017-06-12,2017-05-23
71,5K32,Crewe CS,22+32,ThFO,5A81,BrtnUNCmd,03+57,VW 516,2017-08-12,2017-05-25
72,5D40,BrtnUNCmd,22+14,SO,5D80,BrtnUNCmd,04+46,VW 516,2017-09-12,2017-05-27
73,5K52,Crewe CS,23+42,Su,5J53,BrtnUNCmd,13+04,VW 517,2017-03-12,2017-05-21
74,1D91,Holyhead,20.58,FSX,5R03,BrtnUNCmd,04+42,VW 517,2017-07-12,2017-05-22
75,1D91,Holyhead,20.58,FO,5R03,BrtnUNCmd,04+42,VW 517,2017-08-12,2017-05-26
